name_vacancy,URL,name_company,zp_min,zp_max
Программист Python,https://hh.ru/vacancy/34247032?query=python,ООО Дефенс Групп,100000,150000 
Программист Python,https://hh.ru/vacancy/33887758?query=python," ЭВРИКА, Санкт-Петербург",80000,150000 
Junior Quantitative Researcher,https://hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,250000,250000 
Backend python/Django разработчик,https://hh.ru/vacancy/33787768?query=python,ООО БОЛЬШАЯ ТРОЙКА,120000,200000 
Программист Python,https://hh.ru/vacancy/34247032?query=python,ООО Дефенс Групп,100000,150000 
Программист Python,https://hh.ru/vacancy/33887758?query=python," ЭВРИКА, Санкт-Петербург",80000,150000 
Junior Quantitative Researcher,https://hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,250000,250000 
Backend python/Django разработчик,https://hh.ru/vacancy/33787768?query=python,ООО БОЛЬШАЯ ТРОЙКА,120000,200000 
Computer vision data scientist,https://hh.ru/vacancy/34068961?query=python," AROUND, Группа компаний",120000,140000 
Python разработчик,https://hh.ru/vacancy/34220194?query=python,ООО КРИПТОН,100000,140000 
Computer Vision / Data scientist CV,https://hh.ru/vacancy/34070637?query=python,ООО АлгоМост,100000,200000 
Разработчик Python,https://hh.ru/vacancy/34120963?query=python, Асимметрик VFX (Asymmetric VFX Studio),90000,150000 
Junior Python Developer,https://hh.ru/vacancy/33965018?query=python,ООО АКХ,30000,50000 
Data Engineering Team Lead (Python / C++),https://hh.ru/vacancy/34106577?query=python, DataFork,300000,400000 
Junior machine learning engineer,https://hh.ru/vacancy/33310553?query=python, Tech5,50000,130000 
Python backend developer,https://hh.ru/vacancy/34149732?query=python," AROUND, Группа компаний",120000,140000 
Разработчик Python/Django (junior/middle),https://hh.ru/vacancy/34126001?query=python, Zonesmart,50000,80000 
"Python developer, junior ML-engineer",https://hh.ru/vacancy/33953502?query=python,ООО Целус Менеджмент,45000,80000 
Python developer,https://hh.ru/vacancy/34005432?query=python, IVIDEON,160000,200000 
Программист Python,https://hh.ru/vacancy/34198397?query=python," Insilico Medicine, Inc",100000,200000 
Machine learning engineer,https://hh.ru/vacancy/33947694?query=python, Tech5,100000,200000 
Тестировщик программного обеспечения,https://hh.ru/vacancy/33787682?query=python,ООО БОЛЬШАЯ ТРОЙКА,60000,80000 
Python Web Developer,https://hh.ru/vacancy/33895741?query=python, Soshace,200000,300000 
Инженер-программист (Python),https://hh.ru/vacancy/34191366?query=python, ЭР-Телеком,80000,80000 
Программист Python,https://hh.ru/vacancy/33833014?query=python," Смарт Текнолоджис,ООО",100000,120000 
Python developer,https://hh.ru/vacancy/33811537?query=python, B2Broker Москва,150000,200000 
Разработчик Python,https://hh.ru/vacancy/33828496?query=python, Открытые Технологии,120000,150000 
Junior python-разработчик,https://hh.ru/vacancy/33725095?query=python, BR Lab,40000,80000 
Методист-эксперт Python,https://hh.ru/vacancy/33842117?query=python, Алгоритмика,130000,180000 
Back-end разработчик (стажер),https://hh.ru/vacancy/33709346?query=python,ООО Мед-Аск,10000,10000 
Разработчик Python / Django,https://hh.ru/vacancy/33917948?query=python, IT Gene,70000,80000 
Backend разработчик (Python / Django),https://hh.ru/vacancy/34065181?query=python,ООО «СТРОЙУЧЕТСЕРВИС»,80000,200000 
Программист Python Django (Middle),https://hh.ru/vacancy/34221879?query=python, BR Lab,100000,150000 
Junior Data Scientist / Quant / Business Intelligence Analyst,https://hh.ru/vacancy/33879836?query=python, Zamwell Asset Management,50000,120000 
Специалист по тестированию (можно с маленьким опытом работы),https://hh.ru/vacancy/33600122?query=python, CommuniGate Systems Russia,60000,80000 
Веб-разработчик,https://hh.ru/vacancy/33932812?query=python, NeoCommunications,70000,100000 
Full-stack разработчик Django / Python,https://hh.ru/vacancy/34169753?query=python,ООО Смартекс,120000,180000 
Аналитик данных / Data Scientist,https://hh.ru/vacancy/32377243?query=python, Открытые Технологии,120000,180000 
Старший программист Python,https://hh.ru/vacancy/32913880?query=python, Softline,120000,180000 
Web-разработчик full stack,https://hh.ru/vacancy/33791667?query=python,АО АСТ,150000,200000 
Тестировщик / QA Engineer (iOS),https://hh.ru/vacancy/33730040?query=python, Photo Lab,100000,150000 
Data Scientist (NLP) / Аналитик,https://hh.ru/vacancy/33775482?query=python, MillionAgents,75000,125000 
DevOps engineer,https://hh.ru/vacancy/34170874?query=python, ecomsolutions,2500 USD,3000 USD
QA / Тестировщик ПО,https://hh.ru/vacancy/33861235?query=python, IT-FACE,60000,100000 
Веб программист,https://hh.ru/vacancy/34075226?query=python, ИнтернетСофт,80000,150000 
Manual QA Engineer,https://hh.ru/vacancy/33978040?query=python, Postuf,60000,150000 
Web-программист,https://hh.ru/vacancy/34050191?query=python,"ЗАО Станкоинформзащита, НТЦ",80000,150000 
ГИС-картограф,https://hh.ru/vacancy/34124616?query=python,ООО Студия Транспортного Проектирования,50000,60000 
Senior QA Engineer/Team Lead (мануальное тестирование),https://hh.ru/vacancy/33320912?query=python,ООО СофтПро,200000,260000 
Back-end разработчик (Python),https://hh.ru/vacancy/34159959?query=python,ООО Когнитивные системы,80000,120000 
Python-разработчик / Data Engineer,https://hh.ru/vacancy/34103918?query=python,ООО РАБЛЗ,100000,250000 
NLP engineer / Data scientist NLP,https://hh.ru/vacancy/33767345?query=python,ООО АлгоМост,100000,250000 
QA Engineer (desktop),https://hh.ru/vacancy/33720158?query=python, IVIDEON,90000,130000 
Главный аналитик-математик (Data Analyst / Data Scientist),https://hh.ru/vacancy/30250856?query=python, Связной,180000,230000 
Senior Python developer (Cloud Services),https://hh.ru/vacancy/33998791?query=python, IVIDEON,180000,230000 
Front-end разработчик (web application),https://hh.ru/vacancy/34097595?query=python,ООО Аксилон Консалтинг,70000,100000 
Разработчик C++/cocos2d-x,https://hh.ru/vacancy/33925871?query=python, FUSION CORE,130000,170000 
GoLang разработчик,https://hh.ru/vacancy/32312098?query=python,ООО Управление Бизнесом,100000,200000 
Data Scientist / Аналитик,https://hh.ru/vacancy/33773165?query=python, Photo Lab,100000,150000 
Front-End разработчик,https://hh.ru/vacancy/34160300?query=python,ООО Когнитивные системы,80000,120000 
Программист - разработчик C# (Junior/Middle),https://hh.ru/vacancy/34194327?query=python, TEZ TOUR,60000,100000 
"Аналитик / Специалист по обработке данных (DP, Market Research)",https://hh.ru/vacancy/34020403?query=python, Profi Online Research,40000,80000 
Прикладной программист (Front-end программист),https://hh.ru/vacancy/33973777?query=python, AERODISK,100000,150000 
Senior QA Automation Engineer (Selenium),https://hh.ru/vacancy/33496369?query=python, Smart Development Ltd,2000 USD,3500 USD
PHP-программист/Front Vue.js,https://hh.ru/vacancy/34067583?query=python,ООО Флекскор,60000,150000 
С# Developer / Data Engineer,https://hh.ru/vacancy/33775060?query=python,ООО НОВОТЕХ,150000,200000 
Frontend-разработчик,https://hh.ru/vacancy/33909664?query=python,ООО Смартекс,100000,150000 
Frontend-разработчик,https://hh.ru/vacancy/33931015?query=python,ООО KTS Studio,100000,180000 
Программист-разработчик Node.js (JavaScript) + Python,https://hh.ru/vacancy/34072852?query=python,ООО Телеком-Биржа,100000,120000 
Инженер-программист,https://hh.ru/vacancy/33880655?query=python,ООО Софтлоджик Рус,60000,80000 
Программист С++,https://hh.ru/vacancy/33708805?query=python,ООО Финстарлабс,100000,130000 
"Программист-разработчик автономного коптера/дрона (STM32, C/C++)",https://hh.ru/vacancy/33792287?query=python, Marvelmind Robotics,80000,150000 
Backend-разработчик,https://hh.ru/vacancy/34082501?query=python,АО Мосинжстрой,130000,150000 
Программист C++,https://hh.ru/vacancy/34214819?query=python,ООО СКБ ПОТОК,75000,120000 
Full-Stack Web-Developer / Web-Master,https://hh.ru/vacancy/33671188?query=python, NPBFX Limited,100000,150000 
Golang ведущий разработчик,https://hh.ru/vacancy/33948043?query=python,ООО Эйчэфти Арбитраж,200000,250000 
Senior/Regular QA Manual Engineer,https://hh.ru/vacancy/33496315?query=python, Smart Development Ltd,1500 USD,2500 USD
Junior Web разработчик,https://hh.ru/vacancy/33929691?query=python, Carbon Soft,20000,60000 
Реверс-инжиниринг встраиваемого ПО (начинающий специалист),https://hh.ru/vacancy/33912287?query=python,"ЗАО Станкоинформзащита, НТЦ",25000,60000 
Программист-разработчик,https://hh.ru/vacancy/34167697?query=python,ООО Софтлоджик Рус,70000,100000 
Unreal Engine / C++ Developer,https://hh.ru/vacancy/33912669?query=python,ООО Метроком,70000,110000 
Реверс инженер мобильных приложений,https://hh.ru/vacancy/34247184?query=python,ООО Дефенс Групп,80000,150000 
"Программист Qt, C++",https://hh.ru/vacancy/34149249?query=python, ИнтернетСофт,80000,150000 
DevOps specialist,https://hh.ru/vacancy/34149230?query=python, Black Wall Group,70000,100000 
Разработчик Python (сетевые сервисы),https://hh.ru/vacancy/34246281?query=python," Крипто-Про, Компания",80000,160000 
Преподаватель робототехники,https://hh.ru/vacancy/34241265?query=python,ИП Кузенко Наталия Владимировна,60000,100000 
Младший бэк-энд разработчик (Python),https://hh.ru/vacancy/31240024?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,80000,110000 
Специалист по анализу данных (Data Scientist),https://hh.ru/vacancy/34245159?query=python, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,110000,150000 
Специалист Oracle BI,https://hh.ru/vacancy/33722313?query=python,ООО ГЕТСИЭРЭМ,160000,200000 
Системный администратор Linux/Инженер технической поддержки,https://hh.ru/vacancy/33989465?query=python, ЛАЙФСТРИМ,45000,55000 
Software Tester / QA Engineer,https://hh.ru/vacancy/33709050?query=python, Imhio Ltd,1300 USD,2600 USD
Специалист по защищенности информационных систем / Пентестер,https://hh.ru/vacancy/34246914?query=python,ООО Дефенс Групп,80000,150000 
BI разработчик,https://hh.ru/vacancy/34055357?query=python, КРАФТЕР,130000,150000 
Инженер-программист ( front-end developer ) junior/middle,https://hh.ru/vacancy/32697772?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,100000,140000 
Системный аналитик,https://hh.ru/vacancy/33711065?query=python, HFLabs,185000,220000 
Ведущий системный администратор,https://hh.ru/vacancy/33725562?query=python,ООО Айпи Сервер,60000,90000 
Data engineer в г. Сочи,https://hh.ru/vacancy/34244788?query=python, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,110000,150000 
Ведущий инженер по внедрению ПО,https://hh.ru/vacancy/33887425?query=python," ЭВРИКА, Санкт-Петербург",90000,160000 
Системный администратор,https://hh.ru/vacancy/34242639?query=python, SPN,85000,90000 
"Системный администратор, DevOps",https://hh.ru/vacancy/34064095?query=python,"ЗАО СВЕМЕЛ, Многопрофильное внедренческое предприятие",40000,150000 
"Экономист-математик (IO, эконометрика/data science)",https://hh.ru/vacancy/31258061?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,60000,130000 
Исследователь-экономист (research analyst in economics),https://hh.ru/vacancy/30995943?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,60000,120000 
Программист встраиваемых систем C++,https://hh.ru/vacancy/33747935?query=python,ООО ЭИР ЛАБС РУС,150000,230000 
Junior Java Developer,https://hh.ru/vacancy/34234828?query=python, Группа компаний SRG,40000,80000 
Инженер-программист / робототехник,https://hh.ru/vacancy/34224496?query=python, Погрузчик,70000,150000 
Менеджер по маркетингу,https://hh.ru/vacancy/34061299?query=python, Sibedge,70000,100000 
Стажер Java/C++,https://hh.ru/vacancy/34123874?query=python, Performance Lab (Перфоманс Лаб),40000,45000 
Аналитик (кредитные риски),https://hh.ru/vacancy/33564818?query=python,ООО МФК Саммит,120000,145000 
Инженер систем виртуализации и СХД / Системный администратор,https://hh.ru/vacancy/33932487?query=python, NeoCommunications,110000,150000 
Ruby on Rails developer,https://hh.ru/vacancy/33218304?query=python, evrone.ru,80000,220000 
Backend разработчик,https://hh.ru/vacancy/34204242?query=python,ООО Аврора Бесконечность,150000,300000 
Java разработчик в отдел аналитики платёжной системы,https://hh.ru/vacancy/33965852?query=python, Anchous Drive Recruitment,150000,200000 
Backend C++ sin / midl,https://hh.ru/vacancy/34224844?query=python,ИП Бойченко Игнат Сергеевич,120000,160000 
Senior Vue.js Front-end Developer,https://hh.ru/vacancy/32342494?query=python, YCLIENTS LLC,180000,230000 
Cистемный администратор Zabbix,https://hh.ru/vacancy/34109960?query=python,ООО ПРОГ МАСТЕР,50000,85000 
Ведущий инженер (внедрение и сопровождение автоматизированных систем),https://hh.ru/vacancy/33311197?query=python, АРТИ,120000,150000 
Программист PL\SQL Oracle,https://hh.ru/vacancy/34029721?query=python, TJ Collection,100000,150000 
Администратор информационных систем,https://hh.ru/vacancy/34232853?query=python,ООО Территория Про,50000,100000 
Специалист группы поддержки ПО комплексов фотовидеофиксации (2 линия),https://hh.ru/vacancy/34225054?query=python,ООО МВС ГРУП,90000,90000 
Full stack PHP developer,https://hh.ru/vacancy/34111489?query=python, Эквифакс Кредит Сервисиз,120000,160000 
Аналитик,https://hh.ru/vacancy/33195505?query=python, Азбука Качества-дом брендов,70000,90000 
Python программист (Senior),https://hh.ru/vacancy/30567902?query=python,ООО Строительный Двор,100000,200000 
Системный администратор,https://hh.ru/vacancy/34028060?query=python, Quantum Art,30000,45000 
Middle Unity 3D / C# Developer,https://hh.ru/vacancy/34237066?query=python,ИП Голубева Зоя Владимировна,70000,100000 
DevOps Engineer,https://hh.ru/vacancy/33794399?query=python, SBI Bank,200000,250000 
Программист С++,https://hh.ru/vacancy/33483197?query=python, ЮРИОН,90000,110000 
CG Generalist / Художник дизайнер Unity 3D,https://hh.ru/vacancy/33954261?query=python, Hello Computer,80000,120000 
Middle backend developer,https://hh.ru/vacancy/33753720?query=python,ООО Авентика,100000,140000 
Реверс-инженер,https://hh.ru/vacancy/33912265?query=python,"ЗАО Станкоинформзащита, НТЦ",80000,200000 
Lead data science,https://hh.ru/vacancy/34032250?query=python, ПИК-БРОКЕР,200000,250000 
Аналитик-математик / Junior Data Analyst,https://hh.ru/vacancy/30250465?query=python, Связной,70000,100000 
Scala/Java Developer,https://hh.ru/vacancy/34188911?query=python,ООО Альтуэра Лабс,120000,170000 
Специалист по АСУ,https://hh.ru/vacancy/33850849?query=python, OOO PSI,75000,90000 
Android Reverse Engineer,https://hh.ru/vacancy/33806372?query=python, Postuf,150000,350000 
Backend-разработчик,https://hh.ru/vacancy/32700404?query=python," АЙНЬЮС, OOO",150000,250000 
Тестировщик (QA manager),https://hh.ru/vacancy/34188818?query=python,ООО АТАЛАН,50000,75000 
Инженер по тестированию/тестировщик,https://hh.ru/vacancy/34201888?query=python, ЛАН-Проект,50000,120000 
Администратор PostgreSQL DBA,https://hh.ru/vacancy/28525005?query=python, ФГБУ ФКП Росреестра,100000,150000 
Программист C++ (встраиваемое ПО),https://hh.ru/vacancy/33836304?query=python, Связь инжиниринг М,80000,120000 
Frontend-разработчик (React),https://hh.ru/vacancy/33628292?query=python,ООО РАБЛЗ,80000,180000 
Программист 3D графики,https://hh.ru/vacancy/33177370?query=python, Eagle Dynamics,100000,250000 
Стажер IT (нагрузочное тестирование),https://hh.ru/vacancy/34123981?query=python, Performance Lab (Перфоманс Лаб),40000,45000 
Программист в Германию,https://hh.ru/vacancy/33812932?query=python,ИП Сметанин Владимир Анатольевич,2800 EUR,3800 EUR
Инженер в группу технической поддержки систем хранения данных,https://hh.ru/vacancy/33899453?query=python, Марвел Дистрибуция,90000,125000 
Frontend-разработчик (Angular),https://hh.ru/vacancy/33628189?query=python,ООО РАБЛЗ,80000,180000 
Системный администратор / DevOps,https://hh.ru/vacancy/33909620?query=python,ООО Смартекс,100000,150000 
PHP-разработчик,https://hh.ru/vacancy/32333890?query=python, Веб-Мост,95000,150000 
Инженер (Информационная безопасность),https://hh.ru/vacancy/33393104?query=python, АМТ-ГРУП,115000,160000 
Разработчик,https://hh.ru/vacancy/34182657?query=python,ООО Новейшие Цифровые Технологии,75000,120000 
IOS Reverse Engineer,https://hh.ru/vacancy/32831677?query=python, Postuf,150000,350000 
Team lead / Ведущий разработчик,https://hh.ru/vacancy/34166841?query=python,АО АСТ,150000,300000 
Digital Marketing Manager / Специалист по Интернет-маркетингу,https://hh.ru/vacancy/33809192?query=python,ЗАО Прогностические решения,50000,100000 
Solution Architect,https://hh.ru/vacancy/33727493?query=python, Insolar,270000,370000 
Devops-инженер,https://hh.ru/vacancy/32690401?query=python," АЙНЬЮС, OOO",130000,200000 
Программист-разработчик (Embedded Linux),https://hh.ru/vacancy/31956098?query=python, Связь инжиниринг М,120000,150000 
Application security engineer,https://hh.ru/vacancy/34153841?query=python, Свордфиш Секьюрити,150000,200000 
Технический менеджер проектов,https://hh.ru/vacancy/34203143?query=python, Anchous Drive Recruitment,150000,200000 
PHP-разработчик,https://hh.ru/vacancy/32717065?query=python, Финансовый университет при Правительстве РФ,80000,80000 
Senior asp.net developer (Ведущий asp.net разработчик/ C#),https://hh.ru/vacancy/34085080?query=python,ООО Аналитические решения,150000,300000 
Middle QA Engineer,https://hh.ru/vacancy/33908648?query=python, Е100 Восток,140000,150000 
Программист-стажер 1С,https://hh.ru/vacancy/31551931?query=python, Первый Бит,25000,70000 
Frontend developer Angular / TypeScript,https://hh.ru/vacancy/33997217?query=python, BARONA,130000,170000 
Архитектор RPA решений,https://hh.ru/vacancy/34097780?query=python,ООО Новейшие Цифровые Технологии,110000,180000 
C++ Developer,https://hh.ru/vacancy/33998126?query=python, BARONA,130000,170000 
DevOps Engineer / Системный администратор Linux,https://hh.ru/vacancy/34149694?query=python," AROUND, Группа компаний",100000,130000 
Программист-математик,https://hh.ru/vacancy/30234738?query=python, Связной,170000,220000 
Ведущий инженер группы пусконаладочных работ,https://hh.ru/vacancy/32847624?query=python,АО Воентелеком,75000,90000 
Начальник отдела системного администрирования Unix,https://hh.ru/vacancy/33151757?query=python, Связной,180000,180000 
Инженер группы пусконаладочных работ,https://hh.ru/vacancy/32845892?query=python,АО Воентелеком,55000,66000 
Разработчик Android с релокацией в Сочи,https://hh.ru/vacancy/33563584?query=python, ГК «ВИЗАВИ Консалт»,100000,250000 
name_vacancy,URL,name_company,zp_min,zp_max
Python Web Developer,https://hh.ru/vacancy/33895741?query=python, Soshace,200000,300000 
Программист Python,https://hh.ru/vacancy/33833014?query=python," Смарт Текнолоджис,ООО",100000,120000 
Программист Python,https://hh.ru/vacancy/34247032?query=python,ООО Дефенс Групп,100000,150000 
Программист Python,https://hh.ru/vacancy/33887758?query=python," ЭВРИКА, Санкт-Петербург",80000,150000 
Junior Quantitative Researcher,https://hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,250000,250000 
Python Web Developer,https://hh.ru/vacancy/33895741?query=python, Soshace,200000,300000 
Программист Python,https://hh.ru/vacancy/33833014?query=python," Смарт Текнолоджис,ООО",100000,120000 
Программист Python,https://hh.ru/vacancy/34247032?query=python,ООО Дефенс Групп,100000,150000 
Программист Python,https://hh.ru/vacancy/33887758?query=python," ЭВРИКА, Санкт-Петербург",80000,150000 
Junior Quantitative Researcher,https://hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,250000,250000 
Старший программист Python,https://hh.ru/vacancy/32913880?query=python, Softline,120000,180000 
Backend python/Django разработчик,https://hh.ru/vacancy/33787768?query=python,ООО БОЛЬШАЯ ТРОЙКА,120000,200000 
Computer vision data scientist,https://hh.ru/vacancy/34068961?query=python," AROUND, Группа компаний",120000,140000 
Python разработчик,https://hh.ru/vacancy/34220194?query=python,ООО КРИПТОН,100000,140000 
Разработчик Python,https://hh.ru/vacancy/34120963?query=python, Асимметрик VFX (Asymmetric VFX Studio),90000,150000 
Computer Vision / Data scientist CV,https://hh.ru/vacancy/34070637?query=python,ООО АлгоМост,100000,200000 
Data Engineering Team Lead (Python / C++),https://hh.ru/vacancy/34106577?query=python, DataFork,300000,400000 
Junior Python Developer,https://hh.ru/vacancy/33965018?query=python,ООО АКХ,30000,50000 
Junior machine learning engineer,https://hh.ru/vacancy/33310553?query=python, Tech5,50000,130000 
Python backend developer,https://hh.ru/vacancy/34149732?query=python," AROUND, Группа компаний",120000,140000 
Разработчик Python/Django (junior/middle),https://hh.ru/vacancy/34126001?query=python, Zonesmart,50000,80000 
